Tag1	Tag2	Mismatches
10435_x1_FemaleLG_2_FemalePos_160.46_MaleLG_2_MalePos_6.33_duplicated_no	1190_x1_FemaleLG_22_FemalePos_118.15_MaleLG_NA_MalePos_NA_duplicated_no	168
148926_x1_FemaleLG_14_FemalePos_97.92_MaleLG_NA_MalePos_NA_duplicated_no	15021_x1_FemaleLG_7_FemalePos_112.76_MaleLG_7_MalePos_77.7_duplicated_no	2
15021_x1_FemaleLG_7_FemalePos_112.76_MaleLG_7_MalePos_77.7_duplicated_no	1522_x1_FemaleLG_17_FemalePos_90.38_MaleLG_NA_MalePos_NA_duplicated_no	1
19130_x1_FemaleLG_17_FemalePos_27.59_MaleLG_NA_MalePos_NA_duplicated_no	19329_x1_FemaleLG_18_FemalePos_2.62_MaleLG_NA_MalePos_NA_duplicated_no	1
25134_x1_FemaleLG_22_FemalePos_89_MaleLG_NA_MalePos_NA_duplicated_no	25232_x1_FemaleLG_19_FemalePos_105.18_MaleLG_NA_MalePos_NA_duplicated_no	1
33088_x1_FemaleLG_3_FemalePos_97.71_MaleLG_NA_MalePos_NA_duplicated_no	33846_x1_FemaleLG_14_FemalePos_94.47_MaleLG_NA_MalePos_NA_duplicated_no	577
36066_x1_FemaleLG_9.5_FemalePos_12.95_MaleLG_9_MalePos_63.09_duplicated_no	36611_x1_FemaleLG_9_FemalePos_33.66_MaleLG_NA_MalePos_NA_duplicated_no	660
43875_x1_FemaleLG_3_FemalePos_23.39_MaleLG_NA_MalePos_NA_duplicated_no	45801_x1_FemaleLG_26_FemalePos_66.27_MaleLG_NA_MalePos_NA_duplicated_no	557
45699_x1_FemaleLG_23_FemalePos_103.34_MaleLG_NA_MalePos_NA_duplicated_no	46097_x1_FemaleLG_10_FemalePos_164.88_MaleLG_NA_MalePos_NA_duplicated_no	306
51371_x1_FemaleLG_5_FemalePos_123.18_MaleLG_NA_MalePos_NA_duplicated_no	51535_x1_FemaleLG_19_FemalePos_1.71_MaleLG_19_MalePos_24.96_duplicated_no	580
53413_x1_FemaleLG_1_FemalePos_21.6_MaleLG_NA_MalePos_NA_duplicated_no	5404_x1_FemaleLG_26_FemalePos_144.17_MaleLG_NA_MalePos_NA_duplicated_no	1
5543_x1_FemaleLG_3_FemalePos_28.95_MaleLG_3_MalePos_79.28_duplicated_no	56510_x1_FemaleLG_17_FemalePos_24.5_MaleLG_NA_MalePos_NA_duplicated_no	1
59208_x1_FemaleLG_20_FemalePos_38.77_MaleLG_NA_MalePos_NA_duplicated_no	59438_x1_FemaleLG_24_FemalePos_31.35_MaleLG_24_MalePos_74.04_duplicated_no	255
59386_x1_FemaleLG_13_FemalePos_2.44_MaleLG_13_MalePos_34.91_duplicated_no	60125_x1_FemaleLG_12_FemalePos_107.93_MaleLG_NA_MalePos_NA_duplicated_no	2
6192_x1_FemaleLG_23_FemalePos_115.11_MaleLG_23_MalePos_36.31_duplicated_no	62343_x1_FemaleLG_2_FemalePos_180.01_MaleLG_NA_MalePos_NA_duplicated_no	97
63267_x1_FemaleLG_23_FemalePos_74.69_MaleLG_23_MalePos_33.76_duplicated_no	63617_x1_FemaleLG_17_FemalePos_78.03_MaleLG_NA_MalePos_NA_duplicated_no	1
66198_x1_FemaleLG_17_FemalePos_95.68_MaleLG_NA_MalePos_NA_duplicated_no	66417_x1_FemaleLG_2_FemalePos_126.15_MaleLG_NA_MalePos_NA_duplicated_no	12
69235_x1_FemaleLG_20_FemalePos_77.79_MaleLG_NA_MalePos_NA_duplicated_no	694_x1_FemaleLG_2_FemalePos_81.1_MaleLG_NA_MalePos_NA_duplicated_no	34
694_x1_FemaleLG_2_FemalePos_81.1_MaleLG_NA_MalePos_NA_duplicated_no	6966_x1_FemaleLG_28_FemalePos_122.78_MaleLG_NA_MalePos_NA_duplicated_no	14
69839_x1_FemaleLG_11_FemalePos_3.24_MaleLG_NA_MalePos_NA_duplicated_no	69876_x1_FemaleLG_8_FemalePos_9.73_MaleLG_NA_MalePos_NA_duplicated_no	1
73750_x1_FemaleLG_15_FemalePos_123.11_MaleLG_NA_MalePos_NA_duplicated_no	74823_x1_FemaleLG_4_FemalePos_26.92_MaleLG_NA_MalePos_NA_duplicated_no	168
74823_x1_FemaleLG_4_FemalePos_26.92_MaleLG_NA_MalePos_NA_duplicated_no	75106_x1_FemaleLG_17_FemalePos_92.59_MaleLG_17_MalePos_47.24_duplicated_no	120
77322_x1_FemaleLG_2_FemalePos_9.04_MaleLG_NA_MalePos_NA_duplicated_no	77389_x1_FemaleLG_7_FemalePos_130.42_MaleLG_7_MalePos_140.8_duplicated_no	1
77389_x1_FemaleLG_7_FemalePos_130.42_MaleLG_7_MalePos_140.8_duplicated_no	77739_x1_FemaleLG_24_FemalePos_59.65_MaleLG_24_MalePos_74.04_duplicated_no	57
