ID	Counts
10435_x1_FemaleLG_2_FemalePos_160.46_MaleLG_2_MalePos_6.33_duplicated_no	922
1190_x1_FemaleLG_22_FemalePos_118.15_MaleLG_NA_MalePos_NA_duplicated_no	920
15021_x1_FemaleLG_7_FemalePos_112.76_MaleLG_7_MalePos_77.7_duplicated_no	1
1522_x1_FemaleLG_17_FemalePos_90.38_MaleLG_NA_MalePos_NA_duplicated_no	1
16079_x1_FemaleLG_23_FemalePos_144.61_MaleLG_NA_MalePos_NA_duplicated_no	1
16089_x1_FemaleLG_16_FemalePos_45.82_MaleLG_NA_MalePos_NA_duplicated_no	1
20165_x1_FemaleLG_7_FemalePos_127.81_MaleLG_7_MalePos_82.59_duplicated_no	4
20287_x1_FemaleLG_9.5_FemalePos_69.84_MaleLG_9_MalePos_3.73_duplicated_no	4
24788_x1_FemaleLG_4_FemalePos_109.19_MaleLG_NA_MalePos_NA_duplicated_no	1
24805_x1_FemaleLG_7_FemalePos_12.91_MaleLG_NA_MalePos_NA_duplicated_no	1
25943_x1_FemaleLG_4_FemalePos_109.01_MaleLG_4_MalePos_154.59_duplicated_no	1
26180_x1_FemaleLG_20_FemalePos_0.92_MaleLG_NA_MalePos_NA_duplicated_no	1
30945_x1_FemaleLG_7_FemalePos_121.56_MaleLG_7_MalePos_74.22_duplicated_no	2
32156_x1_FemaleLG_4_FemalePos_1.85_MaleLG_NA_MalePos_NA_duplicated_no	2
33088_x1_FemaleLG_3_FemalePos_97.71_MaleLG_NA_MalePos_NA_duplicated_no	2648
33846_x1_FemaleLG_14_FemalePos_94.47_MaleLG_NA_MalePos_NA_duplicated_no	2648
35308_x1_FemaleLG_10_FemalePos_58.75_MaleLG_NA_MalePos_NA_duplicated_no	1
35778_x1_FemaleLG_22_FemalePos_134.67_MaleLG_NA_MalePos_NA_duplicated_no	5
36066_x1_FemaleLG_9.5_FemalePos_12.95_MaleLG_9_MalePos_63.09_duplicated_no	127
36611_x1_FemaleLG_9_FemalePos_33.66_MaleLG_NA_MalePos_NA_duplicated_no	125
38155_x1_FemaleLG_24_FemalePos_19.16_MaleLG_NA_MalePos_NA_duplicated_no	1
3925_x1_FemaleLG_9.5_FemalePos_69.84_MaleLG_NA_MalePos_NA_duplicated_no	1
39887_x1_FemaleLG_23_FemalePos_46.06_MaleLG_NA_MalePos_NA_duplicated_no	1
3990_x1_FemaleLG_20_FemalePos_0.34_MaleLG_NA_MalePos_NA_duplicated_no	1
40181_x1_FemaleLG_4_FemalePos_125.5_MaleLG_NA_MalePos_NA_duplicated_no	1
40986_x1_FemaleLG_2_FemalePos_132.69_MaleLG_2_MalePos_6.33_duplicated_no	1
41127_x1_FemaleLG_13_FemalePos_116.77_MaleLG_NA_MalePos_NA_duplicated_no	1
41430_x1_FemaleLG_27_FemalePos_108.8_MaleLG_NA_MalePos_NA_duplicated_no	4
41597_x1_FemaleLG_13_FemalePos_123.01_MaleLG_NA_MalePos_NA_duplicated_no	4
43875_x1_FemaleLG_3_FemalePos_23.39_MaleLG_NA_MalePos_NA_duplicated_no	2458
45004_x1_FemaleLG_3_FemalePos_30.09_MaleLG_NA_MalePos_NA_duplicated_no	1
45069_x1_FemaleLG_18_FemalePos_2.62_MaleLG_NA_MalePos_NA_duplicated_no	1
45699_x1_FemaleLG_23_FemalePos_103.34_MaleLG_NA_MalePos_NA_duplicated_no	1150
45801_x1_FemaleLG_26_FemalePos_66.27_MaleLG_NA_MalePos_NA_duplicated_no	2457
46097_x1_FemaleLG_10_FemalePos_164.88_MaleLG_NA_MalePos_NA_duplicated_no	1150
46688_x1_FemaleLG_3_FemalePos_27.85_MaleLG_NA_MalePos_NA_duplicated_no	3
46693_x1_FemaleLG_14_FemalePos_156.9_MaleLG_14_MalePos_51.29_duplicated_no	3
47893_x1_FemaleLG_13_FemalePos_134.09_MaleLG_NA_MalePos_NA_duplicated_no	1
47927_x1_FemaleLG_27_FemalePos_199.03_MaleLG_NA_MalePos_NA_duplicated_no	1
48901_x1_FemaleLG_25_FemalePos_7.7_MaleLG_NA_MalePos_NA_duplicated_no	1
49339_x1_FemaleLG_12_FemalePos_76.58_MaleLG_NA_MalePos_NA_duplicated_no	1
50267_x1_FemaleLG_2_FemalePos_190.17_MaleLG_NA_MalePos_NA_duplicated_no	2
50618_x1_FemaleLG_13_FemalePos_111.18_MaleLG_NA_MalePos_NA_duplicated_no	1
51026_x1_FemaleLG_26_FemalePos_115.66_MaleLG_NA_MalePos_NA_duplicated_no	3
51371_x1_FemaleLG_5_FemalePos_123.18_MaleLG_NA_MalePos_NA_duplicated_no	1976
51419_x1_FemaleLG_15_FemalePos_106.37_MaleLG_15_MalePos_26.56_duplicated_no	1
51535_x1_FemaleLG_19_FemalePos_1.71_MaleLG_19_MalePos_24.96_duplicated_no	1975
55083_x1_FemaleLG_6_FemalePos_45.89_MaleLG_NA_MalePos_NA_duplicated_no	4
55092_x1_FemaleLG_24_FemalePos_43.95_MaleLG_NA_MalePos_NA_duplicated_no	4
59208_x1_FemaleLG_20_FemalePos_38.77_MaleLG_NA_MalePos_NA_duplicated_no	1380
59386_x1_FemaleLG_13_FemalePos_2.44_MaleLG_13_MalePos_34.91_duplicated_no	22
59438_x1_FemaleLG_24_FemalePos_31.35_MaleLG_24_MalePos_74.04_duplicated_no	1380
60125_x1_FemaleLG_12_FemalePos_107.93_MaleLG_NA_MalePos_NA_duplicated_no	26
