SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	70671	63557
1	1101	44592	42086
2	1101	40791	38433
3	1101	30898	29203
4	1101	27883	26341
5	1101	29684	28062
6	1101	8981	8368
7	1101	29014	27523
8	1101	19509	18533
9	1101	25620	24307
10	1101	7327	6815
11	1101	35922	34003
12	1101	7003	6487
13	1101	40452	37889
14	1101	10803	10218
15	1101	19145	18115
16	1101	19675	18702
17	1101	8185	7772
18	1101	27557	26227
19	1101	30805	29353
20	1101	30967	29404
21	1101	20567	19563
22	1101	22768	21430
23	1101	34157	32466
24	1101	58645	55227
0	1102	70421	63228
1	1102	44386	41865
2	1102	40868	38408
3	1102	31265	29503
4	1102	27762	26177
5	1102	30171	28462
6	1102	9029	8426
7	1102	29110	27622
8	1102	19856	18827
9	1102	25778	24352
10	1102	7538	7065
11	1102	35798	33762
12	1102	7298	6767
13	1102	40870	38152
14	1102	10766	10150
15	1102	19082	18038
16	1102	19678	18728
17	1102	8093	7695
18	1102	27402	26123
19	1102	30895	29369
20	1102	31491	29842
21	1102	20383	19298
22	1102	22440	21202
23	1102	34212	32449
24	1102	59455	55980
0	1103	69848	62407
1	1103	45014	42393
2	1103	41660	38966
3	1103	31338	29540
4	1103	28037	26359
5	1103	30326	28499
6	1103	8807	8222
7	1103	29128	27673
8	1103	19652	18572
9	1103	25971	24505
10	1103	7557	6988
11	1103	36077	33951
12	1103	7360	6770
13	1103	41341	38584
14	1103	10835	10219
15	1103	19402	18280
16	1103	19550	18535
17	1103	8108	7732
18	1103	27609	26215
19	1103	30886	29294
20	1103	31405	29698
21	1103	20199	19136
22	1103	23068	21725
23	1103	34588	32801
24	1103	59306	55764
0	1104	70620	63598
1	1104	45159	42757
2	1104	41382	39064
3	1104	31475	29855
4	1104	28211	26742
5	1104	30152	28483
6	1104	8936	8384
7	1104	29077	27644
8	1104	19709	18795
9	1104	26103	24777
10	1104	7520	7004
11	1104	36328	34488
12	1104	7120	6608
13	1104	41084	38635
14	1104	10829	10265
15	1104	19308	18374
16	1104	19523	18603
17	1104	7991	7622
18	1104	27495	26232
19	1104	31023	29646
20	1104	31481	30004
21	1104	20471	19458
22	1104	23049	21788
23	1104	34825	33223
24	1104	59658	56290
0	1105	69514	62504
1	1105	44707	42156
2	1105	41643	39208
3	1105	31669	29927
4	1105	27907	26322
5	1105	30075	28429
6	1105	8872	8348
7	1105	29104	27682
8	1105	19607	18637
9	1105	25879	24533
10	1105	7435	6950
11	1105	36238	34281
12	1105	7249	6687
13	1105	40848	38365
14	1105	10897	10349
15	1105	18996	17992
16	1105	19915	18930
17	1105	8041	7651
18	1105	27463	26177
19	1105	30825	29311
20	1105	31277	29676
21	1105	20406	19400
22	1105	23026	21725
23	1105	34357	32639
24	1105	59392	56050
0	1106	70156	63154
1	1106	45061	42631
2	1106	41765	39329
3	1106	31792	30208
4	1106	28072	26477
5	1106	30272	28597
6	1106	8797	8216
7	1106	29329	27958
8	1106	19843	18917
9	1106	25969	24651
10	1106	7597	7116
11	1106	35864	34007
12	1106	7108	6607
13	1106	41156	38609
14	1106	10899	10298
15	1106	19077	18076
16	1106	19784	18868
17	1106	7997	7624
18	1106	27382	26122
19	1106	31432	30001
20	1106	31394	29860
21	1106	20433	19497
22	1106	22849	21641
23	1106	34534	32921
24	1106	59622	56313
0	1107	69918	62804
1	1107	44994	42583
2	1107	41676	39258
3	1107	31619	29944
4	1107	28263	26683
5	1107	30189	28531
6	1107	8923	8337
7	1107	29573	28168
8	1107	20020	19059
9	1107	26328	24932
10	1107	7627	7074
11	1107	36072	34231
12	1107	7218	6712
13	1107	41163	38554
14	1107	10780	10195
15	1107	19303	18297
16	1107	19811	18830
17	1107	8176	7799
18	1107	28015	26738
19	1107	31033	29498
20	1107	31333	29750
21	1107	20486	19473
22	1107	22967	21695
23	1107	34438	32733
24	1107	59278	55910
0	1108	70932	63478
1	1108	45088	42621
2	1108	41406	39077
3	1108	31525	29905
4	1108	28042	26513
5	1108	30366	28686
6	1108	9008	8441
7	1108	29459	28025
8	1108	19996	19061
9	1108	26324	25008
10	1108	7534	7089
11	1108	36495	34619
12	1108	7324	6786
13	1108	41650	39043
14	1108	10932	10339
15	1108	19306	18271
16	1108	20102	19104
17	1108	8133	7766
18	1108	27905	26618
19	1108	31428	29951
20	1108	31445	29912
21	1108	20670	19662
22	1108	22957	21788
23	1108	34931	33364
24	1108	59702	56353
0	1109	69939	62655
1	1109	45018	42461
2	1109	41638	39114
3	1109	31949	30236
4	1109	27894	26301
5	1109	30563	28791
6	1109	8793	8177
7	1109	29415	27861
8	1109	19823	18866
9	1109	25986	24543
10	1109	7501	6978
11	1109	36820	34810
12	1109	7375	6814
13	1109	41423	38858
14	1109	10805	10268
15	1109	19229	18170
16	1109	20057	19116
17	1109	8133	7706
18	1109	27721	26485
19	1109	30805	29385
20	1109	31244	29655
21	1109	20492	19484
22	1109	23004	21703
23	1109	35204	33382
24	1109	59900	56484
0	1110	69910	63183
1	1110	45229	42936
2	1110	41662	39337
3	1110	31487	30018
4	1110	28142	26647
5	1110	30556	28972
6	1110	8963	8417
7	1110	29406	28033
8	1110	19824	18919
9	1110	26129	24888
10	1110	7449	6987
11	1110	36457	34714
12	1110	7298	6818
13	1110	41361	38931
14	1110	10897	10361
15	1110	19395	18475
16	1110	19693	18799
17	1110	8186	7815
18	1110	27563	26416
19	1110	31133	29752
20	1110	31664	30179
21	1110	20596	19675
22	1110	23331	22136
23	1110	34866	33285
24	1110	60150	56985
0	1111	70147	62794
1	1111	44987	42424
2	1111	41959	39371
3	1111	32064	30423
4	1111	28358	26795
5	1111	30836	29052
6	1111	8992	8425
7	1111	29741	28307
8	1111	20185	19193
9	1111	26240	24880
10	1111	7552	7051
11	1111	36314	34322
12	1111	7035	6490
13	1111	41677	38981
14	1111	10933	10372
15	1111	19621	18620
16	1111	20066	19108
17	1111	8183	7767
18	1111	27988	26662
19	1111	31337	29789
20	1111	31605	30075
21	1111	20713	19669
22	1111	23620	22290
23	1111	34818	33062
24	1111	59898	56303
0	1112	70186	63359
1	1112	45174	42728
2	1112	42035	39709
3	1112	31931	30282
4	1112	28454	26825
5	1112	30453	28767
6	1112	9044	8407
7	1112	29606	28169
8	1112	19923	19011
9	1112	26218	24876
10	1112	7542	7087
11	1112	36399	34563
12	1112	7243	6732
13	1112	41595	38993
14	1112	10919	10365
15	1112	19587	18582
16	1112	19802	18862
17	1112	8076	7732
18	1112	27821	26547
19	1112	30898	29462
20	1112	31434	30019
21	1112	20785	19718
22	1112	23232	22045
23	1112	34885	33285
24	1112	60653	57423
0	1113	70318	62751
1	1113	45044	42241
2	1113	42216	39494
3	1113	32074	30211
4	1113	28151	26489
5	1113	30478	28547
6	1113	9086	8427
7	1113	29925	28354
8	1113	20071	18997
9	1113	26265	24749
10	1113	7515	6935
11	1113	36320	34251
12	1113	7134	6606
13	1113	41753	38948
14	1113	10968	10305
15	1113	19599	18396
16	1113	19801	18756
17	1113	8045	7642
18	1113	27651	26221
19	1113	30977	29337
20	1113	32026	30294
21	1113	20762	19656
22	1113	23483	22077
23	1113	34619	32738
24	1113	60642	56818
0	1114	70661	63780
1	1114	45420	43030
2	1114	42209	39828
3	1114	32007	30473
4	1114	28328	26902
5	1114	30876	29281
6	1114	8876	8306
7	1114	29716	28336
8	1114	19673	18786
9	1114	26316	25021
10	1114	7708	7221
11	1114	36255	34473
12	1114	7209	6715
13	1114	41878	39378
14	1114	11056	10489
15	1114	19433	18465
16	1114	20043	19115
17	1114	7992	7640
18	1114	27883	26650
19	1114	30779	29400
20	1114	31444	29943
21	1114	20830	19849
22	1114	23271	22045
23	1114	35138	33544
24	1114	60118	56858
0	1115	70424	62259
1	1115	44998	42187
2	1115	41657	38929
3	1115	31844	29958
4	1115	28295	26560
5	1115	30590	28660
6	1115	9124	8458
7	1115	29112	27551
8	1115	20146	19085
9	1115	26034	24433
10	1115	7533	6979
11	1115	36603	34445
12	1115	7375	6759
13	1115	41973	38972
14	1115	10911	10224
15	1115	19152	18003
16	1115	19991	18908
17	1115	7907	7494
18	1115	27856	26422
19	1115	30851	29175
20	1115	31523	29741
21	1115	20443	19392
22	1115	23076	21747
23	1115	34279	32370
24	1115	59695	55894
0	1116	71254	63530
1	1116	44968	42400
2	1116	41872	39385
3	1116	31939	30134
4	1116	28426	26811
5	1116	30559	28808
6	1116	8912	8331
7	1116	29491	27990
8	1116	20056	19103
9	1116	26244	24851
10	1116	7681	7151
11	1116	36809	34802
12	1116	7371	6843
13	1116	42240	39464
14	1116	11086	10494
15	1116	19518	18454
16	1116	19637	18639
17	1116	7979	7580
18	1116	27837	26485
19	1116	30506	28966
20	1116	31654	29985
21	1116	20523	19390
22	1116	22957	21672
23	1116	35001	33198
24	1116	60636	57084
0	1117	72796	64934
1	1117	45427	42841
2	1117	42254	39620
3	1117	31818	30103
4	1117	28555	26905
5	1117	31275	29465
6	1117	9116	8480
7	1117	29490	28059
8	1117	20074	19106
9	1117	26202	24861
10	1117	7557	7045
11	1117	36369	34402
12	1117	8408	7724
13	1117	41995	39361
14	1117	11235	10641
15	1117	19463	18364
16	1117	19944	19016
17	1117	7950	7545
18	1117	27600	26270
19	1117	30919	29398
20	1117	31601	29956
21	1117	20760	19659
22	1117	23488	22173
23	1117	35034	33268
24	1117	60836	57426
0	1118	70370	63129
1	1118	45690	42980
2	1118	41965	39423
3	1118	32194	30499
4	1118	28741	27072
5	1118	31127	29379
6	1118	9048	8474
7	1118	29617	28210
8	1118	20039	19101
9	1118	26615	25226
10	1118	7694	7161
11	1118	36625	34647
12	1118	7384	6832
13	1118	42591	39887
14	1118	11061	10471
15	1118	19700	18680
16	1118	19883	18889
17	1118	8107	7735
18	1118	27568	26327
19	1118	30574	29043
20	1118	31501	29921
21	1118	20586	19556
22	1118	23417	22119
23	1118	35173	33447
24	1118	61257	57767
0	1119	70369	62685
1	1119	45857	43150
2	1119	42171	39560
3	1119	32436	30763
4	1119	28567	26913
5	1119	31370	29549
6	1119	8990	8375
7	1119	29815	28266
8	1119	20280	19315
9	1119	26701	25267
10	1119	7793	7270
11	1119	36659	34769
12	1119	7485	6943
13	1119	42403	39729
14	1119	10937	10370
15	1119	19524	18520
16	1119	19958	18893
17	1119	8096	7668
18	1119	27756	26397
19	1119	30535	28945
20	1119	31930	30288
