Tag1	Tag2	Mismatches
10435ed	1190_22__118.15_	920
10435ed	77537_7__0.65__7__18.19_duplicated	2
15021ed	1522_17__90.38_	1
16079	16089	1
20165	20287	4
24788	24805	1
25943	26180	1
30945	32156	2
33088	33846	2648
35308	35778	1
35778	36066	4
36066	36611	123
36611	3925	1
36611	CM007952.1_31025908	1
38155	CM007959.1_58156760	1
39887	3990_20__0.34_	1
40181	43875_3__23.39_	1
40986	41127_13__116.77_	1
41430	41597_13__123.01_	4
43875	45801_26__66.27_	2457
45004	45069_18__2.62_	1
45699	46097_10__164.88_	1150
46688	46693_14__156.9__14__51.29_duplicated	3
47893	47927_27__199.03_	1
48901	49339_12__76.58_	1
50267	51026_26__115.66_	2
50618	51371_5__123.18_	1
51026	51419_15__106.37__15__26.56_duplicated	1
51371	51535_19__1.71__19__24.96_duplicated	1975
55083	55092_24__43.95_	4
59208	59438_24__31.35__24__74.04_duplicated	1380
59386	60125_12__107.93_	22
60125	61378_5__62.93__5__81.88_duplicated	4
6192	62343_2__180.01_	10
62343	62701_20__89.51_	1
63267	63617_17__78.03_	3
64177	64254_20__130.3_	1
65450	70513_12__129.58_	3
66198	66417_2__126.15_	81
68986	69235_20__77.79_	2
69235	694_2__81.1_	7
694	6966_28__122.78_	48
6966	69839_11__3.24_	1
69839	69876_8__9.73_	5
69926	70025_19__107.94_	1
71035	71347_13__53.22_	1
71787	73175_24__22.18_	1
73217	73223_16__64.41_	1
73750	74823_4__26.92_	827
74823	75106_17__92.59__17__47.24_duplicated	526
77322	77389_7__130.42__7__140.8_duplicated	3
77389	77739_24__59.65__24__74.04_duplicated	326
79678	80347_24__10.11__24__73.71_duplicated	490
80347	80427_13__31.3_	1
82797	83277_1__44.37_	15
84361	85113_11__120.3_	1541
9094	91014_19__79.82_	3380
91014d	91174_4__116.64_	1
CM007936.1_49191445	CM007937.1_46498807	2
CM007939.1_22667021	CM007963.1_29424723	1
CM007943.1_20956599	CM007957.1_1049506	1
CM007945.1_73355502	CM007952.1_31025908	26
CM007946.1_50042193	CM007952.1_40684241	1
CM007951.1_45932807	CM007953.1_52343952	3138
CM007951.1_45932807	CM007954.1_26490626	1
One_RAD56448	One_RAD72071	2
One_RAD72071	One_RAD82702	1
