Tag1	Tag2	Mismatches
10435_x1_FemaleLG_2_FemalePos_160.46_MaleLG_2_MalePos_6.33_duplicated_no	*	2751
1190_x1_FemaleLG_22_FemalePos_118.15_MaleLG_NA_MalePos_NA_duplicated_no	*	1038
11921_x1_FemaleLG_10_FemalePos_69.91_MaleLG_NA_MalePos_NA_duplicated_no	*	1566
13920_x1_FemaleLG_28_FemalePos_19.73_MaleLG_28_MalePos_9.42_duplicated_no	*	1262
140571_x1_FemaleLG_24_FemalePos_12_MaleLG_24_MalePos_74.04_duplicated_no	*	1292
15021_x1_FemaleLG_7_FemalePos_112.76_MaleLG_7_MalePos_77.7_duplicated_no	*	2010
1522_x1_FemaleLG_17_FemalePos_90.38_MaleLG_NA_MalePos_NA_duplicated_no	*	4442
15270_x1_FemaleLG_9.5_FemalePos_0.02_MaleLG_NA_MalePos_NA_duplicated_no	*	3696
16079_x1_FemaleLG_23_FemalePos_144.61_MaleLG_NA_MalePos_NA_duplicated_no	*	189
16089_x1_FemaleLG_16_FemalePos_45.82_MaleLG_NA_MalePos_NA_duplicated_no	*	1250
17134_x1_FemaleLG_23_FemalePos_152.67_MaleLG_NA_MalePos_NA_duplicated_no	*	26
17160_x1_FemaleLG_2_FemalePos_167.21_MaleLG_2_MalePos_6.33_duplicated_no	*	1302
17413_x1_FemaleLG_3_FemalePos_58.45_MaleLG_3_MalePos_80.13_duplicated_no	*	728
18427_x1_FemaleLG_12_FemalePos_36.9_MaleLG_NA_MalePos_NA_duplicated_no	*	1595
19130_x1_FemaleLG_17_FemalePos_27.59_MaleLG_NA_MalePos_NA_duplicated_no	*	3592
19329_x1_FemaleLG_18_FemalePos_2.62_MaleLG_NA_MalePos_NA_duplicated_no	*	882
20165_x1_FemaleLG_7_FemalePos_127.81_MaleLG_7_MalePos_82.59_duplicated_no	*	1296
20287_x1_FemaleLG_9.5_FemalePos_69.84_MaleLG_9_MalePos_3.73_duplicated_no	*	1363
20996_x1_FemaleLG_27_FemalePos_187.95_MaleLG_27_MalePos_8.25_duplicated_no	*	2034
21090_x1_FemaleLG_4_FemalePos_128.3_MaleLG_4_MalePos_0_duplicated_no	*	780
2165_x1_FemaleLG_15_FemalePos_2.51_MaleLG_NA_MalePos_NA_duplicated_no	*	2288
22189_x1_FemaleLG_26_FemalePos_36.75_MaleLG_NA_MalePos_NA_duplicated_no	*	920
22985_x1_FemaleLG_9_FemalePos_62.65_MaleLG_NA_MalePos_NA_duplicated_no	*	429
24788_x1_FemaleLG_4_FemalePos_109.19_MaleLG_NA_MalePos_NA_duplicated_no	*	1675
24805_x1_FemaleLG_7_FemalePos_12.91_MaleLG_NA_MalePos_NA_duplicated_no	*	1401
25134_x1_FemaleLG_22_FemalePos_89_MaleLG_NA_MalePos_NA_duplicated_no	*	525
25232_x1_FemaleLG_19_FemalePos_105.18_MaleLG_NA_MalePos_NA_duplicated_no	*	693
25836_x1_FemaleLG_24_FemalePos_87.51_MaleLG_24_MalePos_74.04_duplicated_no	*	912
25943_x1_FemaleLG_4_FemalePos_109.01_MaleLG_4_MalePos_154.59_duplicated_no	*	498
26180_x1_FemaleLG_20_FemalePos_0.92_MaleLG_NA_MalePos_NA_duplicated_no	*	1743
26713_x1_FemaleLG_15_FemalePos_2.51_MaleLG_NA_MalePos_NA_duplicated_no	*	920
28170_x1_FemaleLG_8_FemalePos_12.53_MaleLG_NA_MalePos_NA_duplicated_no	*	624
28252_x1_FemaleLG_12_FemalePos_137.16_MaleLG_NA_MalePos_NA_duplicated_no	*	1118
30945_x1_FemaleLG_7_FemalePos_121.56_MaleLG_7_MalePos_74.22_duplicated_no	*	61
32156_x1_FemaleLG_4_FemalePos_1.85_MaleLG_NA_MalePos_NA_duplicated_no	*	2457
32179_x1_FemaleLG_21_FemalePos_114.57_MaleLG_21_MalePos_5.93_duplicated_no	*	1760
32395_x1_FemaleLG_2_FemalePos_119.54_MaleLG_NA_MalePos_NA_duplicated_no	*	4574
32606_x1_FemaleLG_11_FemalePos_40.04_MaleLG_NA_MalePos_NA_duplicated_no	*	2038
33088_x1_FemaleLG_3_FemalePos_97.71_MaleLG_NA_MalePos_NA_duplicated_no	*	245
33846_x1_FemaleLG_14_FemalePos_94.47_MaleLG_NA_MalePos_NA_duplicated_no	*	2797
34020_x1_FemaleLG_12_FemalePos_61.97_MaleLG_NA_MalePos_NA_duplicated_no	*	4017
34319_x1_FemaleLG_5_FemalePos_65.75_MaleLG_NA_MalePos_NA_duplicated_no	*	1
35308_x1_FemaleLG_10_FemalePos_58.75_MaleLG_NA_MalePos_NA_duplicated_no	*	457
35778_x1_FemaleLG_22_FemalePos_134.67_MaleLG_NA_MalePos_NA_duplicated_no	*	2572
36066_x1_FemaleLG_9.5_FemalePos_12.95_MaleLG_9_MalePos_63.09_duplicated_no	*	3685
36611_x1_FemaleLG_9_FemalePos_33.66_MaleLG_NA_MalePos_NA_duplicated_no	*	425488
38155_x1_FemaleLG_24_FemalePos_19.16_MaleLG_NA_MalePos_NA_duplicated_no	*	1177
3925_x1_FemaleLG_9.5_FemalePos_69.84_MaleLG_NA_MalePos_NA_duplicated_no	*	2166
39887_x1_FemaleLG_23_FemalePos_46.06_MaleLG_NA_MalePos_NA_duplicated_no	*	531
3990_x1_FemaleLG_20_FemalePos_0.34_MaleLG_NA_MalePos_NA_duplicated_no	*	2206
40181_x1_FemaleLG_4_FemalePos_125.5_MaleLG_NA_MalePos_NA_duplicated_no	*	1659
40760_x1_FemaleLG_13_FemalePos_114.27_MaleLG_13_MalePos_51.63_duplicated_no	*	2544
40986_x1_FemaleLG_2_FemalePos_132.69_MaleLG_2_MalePos_6.33_duplicated_no	*	3104
41127_x1_FemaleLG_13_FemalePos_116.77_MaleLG_NA_MalePos_NA_duplicated_no	*	200
41305_x1_FemaleLG_12_FemalePos_18.34_MaleLG_NA_MalePos_NA_duplicated_no	*	977
41430_x1_FemaleLG_27_FemalePos_108.8_MaleLG_NA_MalePos_NA_duplicated_no	*	1122
41597_x1_FemaleLG_13_FemalePos_123.01_MaleLG_NA_MalePos_NA_duplicated_no	*	2376
41816_x1_FemaleLG_20_FemalePos_49.43_MaleLG_20_MalePos_61.95_duplicated_no	*	108
42145_x1_FemaleLG_5_FemalePos_55.91_MaleLG_NA_MalePos_NA_duplicated_no	*	141
42262_x1_FemaleLG_1_FemalePos_29.4_MaleLG_1_MalePos_38.24_duplicated_no	*	1671
42470_x1_FemaleLG_25_FemalePos_37.2_MaleLG_NA_MalePos_NA_duplicated_no	*	4477
42494_x1_FemaleLG_27_FemalePos_181.59_MaleLG_NA_MalePos_NA_duplicated_no	*	2820
42803_x1_FemaleLG_14_FemalePos_158.4_MaleLG_NA_MalePos_NA_duplicated_no	*	1076
42895_x1_FemaleLG_21_FemalePos_51_MaleLG_21_MalePos_5.93_duplicated_no	*	4722
42962_x1_FemaleLG_1_FemalePos_29.4_MaleLG_1_MalePos_38.91_duplicated_no	*	1536
4325_x1_FemaleLG_1_FemalePos_20.28_MaleLG_NA_MalePos_NA_duplicated_no	*	1033
43329_x1_FemaleLG_14_FemalePos_36.12_MaleLG_14_MalePos_51.29_duplicated_no	*	780
43875_x1_FemaleLG_3_FemalePos_23.39_MaleLG_NA_MalePos_NA_duplicated_no	*	2828
45004_x1_FemaleLG_3_FemalePos_30.09_MaleLG_NA_MalePos_NA_duplicated_no	*	2075
45069_x1_FemaleLG_18_FemalePos_2.62_MaleLG_NA_MalePos_NA_duplicated_no	*	2267
45699_x1_FemaleLG_23_FemalePos_103.34_MaleLG_NA_MalePos_NA_duplicated_no	*	1524
45801_x1_FemaleLG_26_FemalePos_66.27_MaleLG_NA_MalePos_NA_duplicated_no	*	3726
46097_x1_FemaleLG_10_FemalePos_164.88_MaleLG_NA_MalePos_NA_duplicated_no	*	2849
46688_x1_FemaleLG_3_FemalePos_27.85_MaleLG_NA_MalePos_NA_duplicated_no	*	3143
46693_x1_FemaleLG_14_FemalePos_156.9_MaleLG_14_MalePos_51.29_duplicated_no	*	2116
